7.2,114,12444,BarbaraSteele,7.05,JohnRichardson,7.2,AndreaChecchi,7.2,MarioBava,7.08,MarcelloCoscia,6.55,EnnioDeConcini,7.35,MarioSerandrei,7.2,,7.39,,7.46
7.2,47,551,VittorioGassman,7.36,DorianGray,7.2,AnnaMariaFerrero,7.2,DinoRisi,7.25,EttoreScola,7.38,AgenoreIncrocci,7.5,FurioScarpelli,7.42,,7.39,,7.46
7.9,,2017,SupriyaChoudhury,7.9,AnilChatterjee,8.05,GyaneshMukherjee,7.95,RitwikGhatak,7.75,SamiranDutta,7.9,ShaktipadaRajguru,7.9,RabindranathTagore,7.95,,7.39,JyotirindraMoitra,7.9
6.3,95,664,JamesStewart,7.22,LisaLu,6.3,GlennCorbett,6.3,DanielMann,6.9,AlfredHayes,6.3,TheodoreH.White,6.3,0,0,WilliamGoetz,6.3,JeromeMoross,6.3
8.3,87,6482,PrithvirajKapoor,8.3,Madhubala,8.3,DilipKumar,7.85,K.Asif,8.3,Aman,7.8,KamalAmrohi,8.3,EhsanRizvi,8.3,,7.39,Naushad,8.3
7.1,94,987,RichardTodd,6.75,PeterSellers,7.37,ElizabethSellars,7.1,JohnGuillermin,7.03,PeterDeSarigny,7.1,AlunFalconer,7.1,0,0,,7.39,JohnBarry,7.45
7.4,,984,TadeuszLomnicki,7.67,KrystynaStypulkowska,7.4,WandaKoczeska,7.4,AndrzejWajda,7.42,JerzyAndrzejewski,7.4,JerzySkolimowski,7.45,0,0,,7.39,KrzysztofKomeda,7.7
8.1,84,15844,JeanneMoreau,7.21,MarcelloMastroianni,7.51,MonicaVitti,7.53,MichelangeloAntonioni,7.52,EnnioFlaiano,7.52,ToninoGuerra,7.61,0,0,EmanueleCassuto,8.1,GiorgioGaslini,7.27
8.1,84,3316,HidekoTakamine,7.83,TatsuyaNakadai,7.89,MasayukiMori,8.1,MikioNaruse,8.0,RyûzôKikushima,8.09,0,0,0,0,,7.39,ToshirôMayuzumi,7.54
7.7,119,27853,KarlheinzBöhm,7.65,AnnaMassey,7.55,MoiraShearer,7.7,MichaelPowell,7.7,LeoMarks,7.4,0,0,0,0,,7.39,BrianEasdale,7.7
7.5,51,1846,SondraLee,7.5,MaryMartin,7.5,CyrilRitchard,7.5,VincentJ.Donehue,7.5,JeromeRobbins,7.35,J.M.Barrie,7.35,0,0,DickLinkroum,7.5,,7.46
7.3,95,5399,AnnaKarina,7.54,MichelSubor,7.2,Henri-JacquesHuet,7.6,Jean-LucGodard,7.08,,7.37,0,0,0,0,GeorgesdeBeauregard,7.47,MauriceLeroux,7.3
7.8,65,12345,AlainDelon,7.37,MauriceRonet,7.08,MarieLaforêt,7.8,RenéClément,7.35,PatriciaHighsmith,7.53,PaulGégauff,7.22,0,0,GoffredoLombardo,7.7,,7.46
7.1,72,991,PhilleoNash,7.1,RobertDrew,7.1,HubertH.Humphrey,7.1,,7.55,,7.37,0,0,0,0,,7.39,,7.46
6.8,135,552,JulesMaitland,6.8,KateManx,6.8,CoreyAllen,6.8,LeslieStevens,6.8,,7.37,0,0,0,0,StanleyColbert,6.8,,7.46
8.5,89,554874,AnthonyPerkins,6.88,JanetLeigh,7.05,VeraMiles,7.5,AlfredHitchcock,7.7,JosephStefano,8.5,RobertBloch,8.5,0,0,,7.39,BernardHerrmann,7.72
6.5,94,95,TonyBritton,6.5,VirginiaMaskell,6.5,IanBannen,6.8,JohnBoulting,6.9,NigelBalchin,6.5,JeffreyDell,6.9,0,0,,7.39,,7.46
8.3,65,14833,AlainDelon,7.37,RenatoSalvatori,7.87,AnnieGirardot,7.63,LuchinoVisconti,7.61,EnricoMedioli,7.76,"""SusoCecchiDAmico""",7.61,VascoPratolini,7.95,,7.39,,7.46
7.9,7,115728,KirkDouglas,7.03,LaurenceOlivier,7.65,JeanSimmons,7.37,StanleyKubrick,8.08,DaltonTrumbo,7.65,HowardFast,7.9,PeterUstinov,7.9,EdwardLewis,7.72,,7.46
7.2,24,12561,JohnMills,7.5,DorothyMcGuire,6.9,JamesMacArthur,7.3,KenAnnakin,6.62,LowellS.Hawley,6.85,JohannDavidWyss,7.2,0,0,BillAnderson,7.2,WilliamAlwyn,7.2
6.0,47,753,AnthonyPerkins,6.88,JaneFonda,7.22,RayWalston,7.27,JoshuaLogan,6.0,JuliusJ.Epstein,6.62,HowardLindsay,7.0,RusselCrouse,7.0,,7.39,CyrilJ.Mockridge,7.05
7.0,,2621,DawnAddams,7.0,PetervanEyck,7.0,GertFröbe,7.35,FritzLang,7.0,HeinzOskarWuttig,7.0,JanFethke,7.0,NorbertJacques,7.0,ArturBrauner,7.23,GerhardBecker,7.0
7.3,,2472,YulBrynner,7.5,JeanCocteau,7.3,FrançoiseArnoul,7.3,,7.55,,7.37,0,0,0,0,,7.39,,7.46
7.6,,33742,RodTaylor,7.4,AlanYoung,7.8,YvetteMimieux,7.2,GeorgePal,7.6,DavidDuncan,7.6,H.G.Wells,7.6,0,0,,7.39,RussellGarcia,7.6
7.5,94,15810,CharlesAznavour,7.4,MarieDubois,7.3,NicoleBerger,7.5,FrançoisTruffaut,7.4,DavidGoodis,7.5,MarcelMoussy,7.2,0,0,PierreBraunberger,7.1,GeorgesDelerue,7.34
8.5,65,13288,AndréBervil,8.5,JeanKeraudy,8.5,MichelConstantin,7.43,JacquesBecker,8.5,JoséGiovanni,7.75,JeanAurel,7.7,0,0,SergeSilberman,7.91,PhilippeArthuys,8.5
7.5,84,3178,AlecGuinness,7.95,JohnMills,7.5,SusannahYork,7.1,RonaldNeame,7.0,JamesKennaway,7.5,0,0,0,0,ColinLesslie,7.5,MalcolmArnold,6.9
7.3,47,1060,AlbertoSordi,7.23,VittorioDeSica,6.3,MarisaMerlini,7.3,LuigiZampa,7.2,RodolfoSonego,7.08,UgoGuerra,7.3,0,0,GuidoGiambartolomei,7.3,PieroUmiliani,6.2
7.3,118,13784,GeorgeSanders,7.4,BarbaraShelley,7.3,MichaelGwynn,7.3,WolfRilla,7.3,StirlingSilliphant,6.76,RonaldKinnoch,7.3,JohnWyndham,7.3,,7.39,RonGoodwin,7.03
7.6,84,2490,BrigitteBardot,7.0,PaulMeurisse,7.93,CharlesVanel,7.35,Henri-GeorgesClouzot,7.6,VéraClouzot,7.6,SimoneDrieu,7.6,MichèlePerrein,7.6,,7.39,,7.46
